bus,hops_to_gen,mean_lambda_q,median_lambda_q,mean_v
0,2,1.4898623367097406,0.4347826087068387,1.03
1,2,1.4270243558840243,0.49218122468697917,1.0255158733165972
2,1,0.9007179799736665,0.3246842772631756,1.0323918701707173
3,0,0.14284206818202141,0.122553138029287,1.0426416745290623
4,1,0.14424283263694432,0.1266091929694663,1.0421763733959035
5,2,0.14474181575723552,0.12894225332317621,1.0418171611003386
6,3,0.13968965980811854,0.12390927987271494,1.0412442032004388
7,2,0.12875942867282225,0.12190264263723975,1.0429749747295274
8,1,0.1313437422859492,0.1249577957136993,1.0429713587057463
9,1,0.12871637675404385,0.12171789232775915,1.0431140593012382
10,0,0.11277411617714825,0.11421245896813334,1.0436928197063753
11,1,0.10950143371404969,0.11371100259648756,1.0436896415493322
12,1,1.3101060101020436,0.47255847295349374,1.02781298690149
13,0,0.17963584248853803,0.12226842808689056,1.0403916034210268
14,0,0.09335711741982904,0.12033460456732155,1.0415816995150262
